23.4818 	EXP 	grating: ori = np.float64(-5.0)
23.4818 	EXP 	fixation: autoDraw = True
23.6331 	EXP 	Device response: <KeyPress from None: t=23.452839700039476, value=right, duration=0.1709929999196902>
23.9817 	INFO 	Keyboard events cleared
23.9815 	EXP 	fixation: autoDraw = False
23.9815 	EXP 	grating: autoDraw = True
24.2814 	EXP 	grating: autoDraw = False
24.4318 	EXP 	Device response: <KeyPress from None: t=24.421313300030306, value=left, duration=None>
24.4333 	DATA 	Keypress: left
24.4478 	EXP 	fixation: autoDraw = False
24.4478 	EXP 	grating: autoDraw = False
24.4478 	EXP 	grating: ori = np.float64(5.0)
24.4478 	EXP 	fixation: autoDraw = True
24.5984 	EXP 	Device response: <KeyPress from None: t=24.421313300030306, value=left, duration=0.15995440003462136>
24.9311 	INFO 	Keyboard events cleared
24.9309 	EXP 	grating: autoDraw = True
24.9475 	EXP 	fixation: autoDraw = False
25.2308 	EXP 	grating: autoDraw = False
25.2479 	EXP 	Device response: <KeyPress from None: t=25.238800500053912, value=right, duration=None>
25.2495 	DATA 	Keypress: right
25.2640 	EXP 	fixation: autoDraw = False
25.2640 	EXP 	grating: autoDraw = False
25.2640 	EXP 	grating: ori = np.float64(5.0)
25.2640 	EXP 	fixation: autoDraw = True
25.4311 	EXP 	Device response: <KeyPress from None: t=25.238800500053912, value=right, duration=0.18147439998574555>
25.7639 	INFO 	Keyboard events cleared
25.7638 	EXP 	fixation: autoDraw = False
25.7638 	EXP 	grating: autoDraw = True
26.0635 	EXP 	grating: autoDraw = False
26.1985 	DATA 	Keypress: right
26.2140 	EXP 	Device response: <KeyPress from None: t=26.197773899999447, value=right, duration=None>
26.2301 	EXP 	fixation: autoDraw = False
26.2301 	EXP 	grating: autoDraw = False
26.2301 	EXP 	grating: ori = np.float64(-4.5)
26.2301 	EXP 	fixation: autoDraw = True
26.4137 	EXP 	Device response: <KeyPress from None: t=26.197773899999447, value=right, duration=0.20103280001785606>
26.7134 	INFO 	Keyboard events cleared
26.7132 	EXP 	grating: autoDraw = True
26.7297 	EXP 	fixation: autoDraw = False
27.0131 	EXP 	grating: autoDraw = False
27.0468 	EXP 	Device response: <KeyPress from None: t=27.041603400022723, value=left, duration=None>
27.0483 	DATA 	Keypress: left
27.0629 	EXP 	fixation: autoDraw = False
27.0629 	EXP 	grating: autoDraw = False
27.0629 	EXP 	grating: ori = np.float64(4.5)
27.0629 	EXP 	fixation: autoDraw = True
27.2464 	EXP 	Device response: <KeyPress from None: t=27.041603400022723, value=left, duration=0.19330529996659607>
27.5627 	INFO 	Keyboard events cleared
27.5625 	EXP 	fixation: autoDraw = False
27.5625 	EXP 	grating: autoDraw = True
27.8625 	EXP 	grating: autoDraw = False
27.8798 	EXP 	Device response: <KeyPress from None: t=27.874640500056557, value=right, duration=None>
27.8814 	DATA 	Keypress: right
27.8957 	EXP 	fixation: autoDraw = False
27.8957 	EXP 	grating: autoDraw = False
27.8957 	EXP 	grating: ori = np.float64(4.5)
27.8957 	EXP 	fixation: autoDraw = True
28.0960 	EXP 	Device response: <KeyPress from None: t=27.874640500056557, value=right, duration=0.20642089995089918>
28.3955 	INFO 	Keyboard events cleared
28.3953 	EXP 	fixation: autoDraw = False
28.3953 	EXP 	grating: autoDraw = True
28.6289 	EXP 	Device response: <KeyPress from None: t=28.62605339998845, value=left, duration=None>
28.6305 	DATA 	Keypress: left
28.6453 	EXP 	fixation: autoDraw = False
28.6453 	EXP 	grating: autoDraw = False
28.6453 	EXP 	grating: ori = np.float64(-5.0)
28.6453 	EXP 	fixation: autoDraw = True
28.7793 	EXP 	Device response: <KeyPress from None: t=28.62605339998845, value=left, duration=0.1506202999735251>
29.1285 	INFO 	Keyboard events cleared
29.1283 	EXP 	grating: autoDraw = True
29.1449 	EXP 	fixation: autoDraw = False
29.4280 	EXP 	grating: autoDraw = False
29.7950 	EXP 	Device response: <KeyPress from None: t=29.782179499976337, value=left, duration=None>
29.7966 	DATA 	Keypress: left
29.8113 	EXP 	fixation: autoDraw = False
29.8113 	EXP 	grating: autoDraw = False
29.8113 	EXP 	grating: ori = np.float64(5.0)
29.8113 	EXP 	fixation: autoDraw = True
29.9783 	EXP 	Device response: <KeyPress from None: t=29.782179499976337, value=left, duration=0.18123730004299432>
30.2944 	INFO 	Keyboard events cleared
30.2942 	EXP 	grating: autoDraw = True
30.3109 	EXP 	fixation: autoDraw = False
30.5947 	EXP 	grating: autoDraw = False
30.6113 	EXP 	Device response: <KeyPress from None: t=30.598380399984308, value=right, duration=None>
30.6129 	DATA 	Keypress: right
30.6274 	EXP 	fixation: autoDraw = False
30.6274 	EXP 	grating: autoDraw = False
30.6274 	EXP 	grating: ori = np.float64(5.0)
30.6274 	EXP 	fixation: autoDraw = True
30.7943 	EXP 	Device response: <KeyPress from None: t=30.598380399984308, value=right, duration=0.18076969997491688>
31.1271 	INFO 	Keyboard events cleared
31.1270 	EXP 	fixation: autoDraw = False
31.1270 	EXP 	grating: autoDraw = True
31.4269 	EXP 	grating: autoDraw = False
31.5283 	DATA 	Keypress: right
31.5439 	EXP 	Device response: <KeyPress from None: t=31.527373300050385, value=right, duration=None>
31.5601 	EXP 	fixation: autoDraw = False
31.5601 	EXP 	grating: autoDraw = False
31.5601 	EXP 	grating: ori = np.float64(-4.5)
31.5601 	EXP 	fixation: autoDraw = True
31.7440 	EXP 	Device response: <KeyPress from None: t=31.527373300050385, value=right, duration=0.21183159993961453>
32.0432 	INFO 	Keyboard events cleared
32.0430 	EXP 	grating: autoDraw = True
32.0598 	EXP 	fixation: autoDraw = False
32.3429 	EXP 	grating: autoDraw = False
32.4267 	EXP 	Device response: <KeyPress from None: t=32.41051730001345, value=left, duration=None>
32.4283 	DATA 	Keypress: left
